"ConditionName","ConditionSNOMED","PathogenName","PathogenTaxonID","Fatalities","CountryName","CountryISO","Admin1Name","Admin1ISO","Admin2Name","CityName","PeriodStartDate","PeriodEndDate","PartOfCumulativeCountSeries","AgeRange","Subpopulation","PlaceOfAcquisition","DiagnosisCertainty","SourceName","CountValue"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEVADA","US-NV","NA","NA","2006-08-13","2006-08-19","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","WASHINGTON","US-WA","NA","NA","2009-09-20","2009-09-26","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","WYOMING","US-WY","NA","NA","2007-08-05","2007-08-11","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","ILLINOIS","US-IL","NA","NA","2013-09-22","2013-09-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","4"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","ILLINOIS","US-IL","NA","NA","2013-09-29","2013-10-05","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MISSISSIPPI","US-MS","NA","NA","2012-08-19","2012-08-25","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MISSISSIPPI","US-MS","NA","NA","2012-09-16","2012-09-22","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MISSISSIPPI","US-MS","NA","NA","2013-10-06","2013-10-12","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MISSISSIPPI","US-MS","NA","NA","2014-08-10","2014-08-16","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MISSISSIPPI","US-MS","NA","NA","2014-09-14","2014-09-20","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MISSISSIPPI","US-MS","NA","NA","2015-10-11","2015-10-17","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MISSISSIPPI","US-MS","NA","NA","2017-10-01","2017-10-07","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEBRASKA","US-NE","NA","NA","2010-04-04","2010-04-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEBRASKA","US-NE","NA","NA","2011-09-04","2011-09-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEBRASKA","US-NE","NA","NA","2013-09-22","2013-09-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","ARIZONA","US-AZ","NA","NA","2006-08-27","2006-09-02","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","ARIZONA","US-AZ","NA","NA","2006-10-15","2006-10-21","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","ARIZONA","US-AZ","NA","NA","2010-04-04","2010-04-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MINNESOTA","US-MN","NA","NA","2006-07-30","2006-08-05","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MINNESOTA","US-MN","NA","NA","2007-09-09","2007-09-15","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MINNESOTA","US-MN","NA","NA","2007-09-30","2007-10-06","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MINNESOTA","US-MN","NA","NA","2012-08-12","2012-08-18","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MINNESOTA","US-MN","NA","NA","2013-09-22","2013-09-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","ARKANSAS","US-AR","NA","NA","2013-09-22","2013-09-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","PUERTO RICO","US-PR","NA","NA","2007-06-24","2007-06-30","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","0"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MARYLAND","US-MD","NA","NA","2015-09-13","2015-09-19","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEW MEXICO","US-NM","NA","NA","2012-08-19","2012-08-25","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEW MEXICO","US-NM","NA","NA","2013-09-22","2013-09-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEW MEXICO","US-NM","NA","NA","2013-10-06","2013-10-12","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEW MEXICO","US-NM","NA","NA","2016-11-13","2016-11-19","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MASSACHUSETTS","US-MA","NA","NA","2013-10-06","2013-10-12","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","GEORGIA","US-GA","NA","NA","2010-04-04","2010-04-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","COLORADO","US-CO","NA","NA","2010-04-04","2010-04-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","COLORADO","US-CO","NA","NA","2013-09-22","2013-09-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","COLORADO","US-CO","NA","NA","2016-07-31","2016-08-06","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","COLORADO","US-CO","NA","NA","2016-08-14","2016-08-20","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2006-08-13","2006-08-19","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2006-09-10","2006-09-16","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2007-07-15","2007-07-21","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2007-08-12","2007-08-18","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2013-07-28","2013-08-03","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2013-08-11","2013-08-17","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2013-08-18","2013-08-24","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2013-09-01","2013-09-07","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2013-09-08","2013-09-14","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2013-09-29","2013-10-05","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2016-07-03","2016-07-09","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2016-07-10","2016-07-16","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2016-07-31","2016-08-06","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2016-08-07","2016-08-13","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2016-08-14","2016-08-20","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TENNESSEE","US-TN","NA","NA","2010-04-04","2010-04-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TENNESSEE","US-TN","NA","NA","2017-08-06","2017-08-12","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TENNESSEE","US-TN","NA","NA","2017-08-13","2017-08-19","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TENNESSEE","US-TN","NA","NA","2017-09-03","2017-09-09","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TENNESSEE","US-TN","NA","NA","2017-10-01","2017-10-07","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TENNESSEE","US-TN","NA","NA","2017-10-08","2017-10-14","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TENNESSEE","US-TN","NA","NA","2017-10-29","2017-11-04","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","KANSAS","US-KS","NA","NA","2013-09-22","2013-09-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","VIRGINIA","US-VA","NA","NA","2010-04-04","2010-04-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","FLORIDA","US-FL","NA","NA","2010-04-04","2010-04-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","5"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","FLORIDA","US-FL","NA","NA","2010-09-12","2010-09-18","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","FLORIDA","US-FL","NA","NA","2012-09-02","2012-09-08","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2010-04-04","2010-04-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","5"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2012-08-19","2012-08-25","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2016-12-11","2016-12-17","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","8"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2016-12-18","2016-12-24","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-05-07","2017-05-13","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-05-14","2017-05-20","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-06-18","2017-06-24","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-07-16","2017-07-22","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-07-30","2017-08-05","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-08-06","2017-08-12","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-08-13","2017-08-19","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","4"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-08-20","2017-08-26","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","5"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-08-27","2017-09-02","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-09-03","2017-09-09","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","9"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-09-10","2017-09-16","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","7"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-09-17","2017-09-23","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","7"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-09-24","2017-09-30","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-10-08","2017-10-14","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-10-15","2017-10-21","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-10-22","2017-10-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-12-10","2017-12-16","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-12-17","2017-12-23","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MONTANA","US-MT","NA","NA","2013-09-29","2013-10-05","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MISSOURI","US-MO","NA","NA","2013-09-22","2013-09-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2007-08-12","2007-08-18","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2007-08-19","2007-08-25","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2007-09-16","2007-09-22","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2007-09-23","2007-09-29","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2008-07-27","2008-08-02","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2008-08-10","2008-08-16","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2008-08-24","2008-08-30","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2008-09-07","2008-09-13","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2008-09-21","2008-09-27","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2008-09-28","2008-10-04","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2009-09-06","2009-09-12","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Disorder of nervous system caused by West Nile virus","430397002","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2013-09-22","2013-09-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","6"
